metric,comparison,better,worse,n_pairs,better_mean,better_std,worse_mean,worse_std,mean_delta,delta_std,paired_t_pvalue_normal_approx,wilcoxon_pvalue_exact,bootstrap_ci95_low,bootstrap_ci95_high,win_rate,tie_count,per_seed_delta
test_accuracy,metadata_germ_bo_minus_baseline_lora,metadata_germ_bo,baseline_lora,13,0.9519230769230769,0.04429144976217483,0.8377403846153846,0.05444550682693501,0.1141826923076923,0.08495762754199356,1.2607349111348753e-06,0.00048828125,0.0703125,0.15925480769230768,0.9230769230769231,0,+0.1602 / +0.1172 / +0.0469 / +0.0312 / +0.2500 / +0.2461 / -0.0039 / +0.0352 / +0.1133 / +0.0195 / +0.1992 / +0.1367 / +0.1328
test_f1,metadata_germ_bo_minus_baseline_lora,metadata_germ_bo,baseline_lora,13,0.9492527138365845,0.048329895914985425,0.8300198385015187,0.07254620731650153,0.11923287533506582,0.10248952288813597,2.733806826737961e-05,0.00048828125,0.06762364144122253,0.17462901416167348,0.9230769230769231,0,+0.1561 / +0.1039 / +0.0262 / +0.0317 / +0.2723 / +0.3298 / -0.0160 / +0.0334 / +0.1191 / +0.0228 / +0.1845 / +0.1407 / +0.1455
test_precision,metadata_germ_bo_minus_baseline_lora,metadata_germ_bo,baseline_lora,13,0.9769860510825067,0.02682947276061899,0.8616685883223885,0.06499861512683693,0.1153174627601183,0.07860039114777428,1.2242739355627918e-07,0.00048828125,0.07465875511758585,0.15684973614982178,0.9230769230769231,0,+0.1866 / +0.1890 / +0.1612 / +0.0323 / +0.2222 / +0.0597 / +0.0876 / +0.0662 / +0.0784 / -0.0115 / +0.2432 / +0.1240 / +0.0603
test_recall,metadata_germ_bo_minus_baseline_lora,metadata_germ_bo,baseline_lora,13,0.9254807692307693,0.07592041725128343,0.8143028846153846,0.12032069465099542,0.11117788461538461,0.1581960146985581,0.011279139054651388,0.01318359375,0.031850961538461536,0.19651442307692307,0.8461538461538461,0,+0.1250 / +0.0078 / -0.1094 / +0.0312 / +0.3125 / +0.4609 / -0.0938 / +0.0078 / +0.1562 / +0.0547 / +0.1172 / +0.1562 / +0.2188
test_accuracy,metadata_germ_bo_minus_germ_bo_final_attn_output_classifier,metadata_germ_bo,germ_bo_final_attn_output_classifier,13,0.9519230769230769,0.04429144976217483,0.8918269230769231,0.025534678266441367,0.06009615384615385,0.04573645679398557,2.1629385593691097e-06,0.00146484375,0.036057692307692304,0.08353365384615384,0.9230769230769231,0,+0.0781 / +0.0430 / +0.0430 / +0.0156 / +0.0547 / +0.0859 / -0.0273 / +0.0234 / +0.0781 / +0.0273 / +0.1133 / +0.1367 / +0.1094
test_f1,metadata_germ_bo_minus_germ_bo_final_attn_output_classifier,metadata_germ_bo,germ_bo_final_attn_output_classifier,13,0.9492527138365845,0.048329895914985425,0.889618144944618,0.02758802596132127,0.0596345688919665,0.05147727479371279,2.955071741794768e-05,0.00244140625,0.032339188881462,0.08604728999917485,0.9230769230769231,0,+0.0805 / +0.0429 / +0.0306 / +0.0135 / +0.0528 / +0.0837 / -0.0421 / +0.0205 / +0.0781 / +0.0326 / +0.1200 / +0.1496 / +0.1125
test_precision,metadata_germ_bo_minus_germ_bo_final_attn_output_classifier,metadata_germ_bo,germ_bo_final_attn_output_classifier,13,0.9769860510825067,0.02682947276061899,0.9062014035233791,0.030256794641924,0.07078464755912764,0.03634392057164196,2.1826984664130578e-12,0.00048828125,0.05063377187561357,0.08896097038290775,0.9230769230769231,0,+0.0661 / +0.0552 / +0.1249 / +0.0351 / +0.0896 / +0.1212 / +0.0830 / +0.0567 / +0.0781 / -0.0181 / +0.0702 / +0.0748 / +0.0835
test_recall,metadata_germ_bo_minus_germ_bo_final_attn_output_classifier,metadata_germ_bo,germ_bo_final_attn_output_classifier,13,0.9254807692307693,0.07592041725128343,0.8756009615384616,0.048941175218939086,0.049879807692307696,0.09405000076677708,0.05584810213563696,0.072998046875,0.0,0.09795673076923077,0.6923076923076923,0,+0.0938 / +0.0312 / -0.0547 / -0.0078 / +0.0156 / +0.0469 / -0.1406 / -0.0078 / +0.0781 / +0.0781 / +0.1641 / +0.2109 / +0.1406
test_accuracy,germ_bo_final_attn_output_classifier_minus_baseline_lora,germ_bo_final_attn_output_classifier,baseline_lora,13,0.8918269230769231,0.025534678266441367,0.8377403846153846,0.05444550682693501,0.054086538461538464,0.06336571157926275,0.0020870272638959797,0.00146484375,0.02403846153846154,0.08924278846153846,0.8461538461538461,1,+0.0820 / +0.0742 / +0.0039 / +0.0156 / +0.1953 / +0.1602 / +0.0234 / +0.0117 / +0.0352 / -0.0078 / +0.0859 / +0.0000 / +0.0234
test_f1,germ_bo_final_attn_output_classifier_minus_baseline_lora,germ_bo_final_attn_output_classifier,baseline_lora,13,0.889618144944618,0.02758802596132127,0.8300198385015187,0.07254620731650153,0.05959830644309932,0.08179979413183566,0.008615157629182857,0.00341796875,0.021722984449857173,0.1059454148674341,0.7692307692307693,0,+0.0756 / +0.0610 / -0.0044 / +0.0183 / +0.2194 / +0.2462 / +0.0260 / +0.0129 / +0.0409 / -0.0098 / +0.0644 / -0.0089 / +0.0330
test_precision,germ_bo_final_attn_output_classifier_minus_baseline_lora,germ_bo_final_attn_output_classifier,baseline_lora,13,0.9062014035233791,0.030256794641924,0.8616685883223885,0.06499861512683693,0.04453281520099065,0.07212635787805484,0.026002968786044356,0.0478515625,0.008368487507169274,0.08303702014488151,0.7692307692307693,0,+0.1205 / +0.1339 / +0.0363 / -0.0029 / +0.1327 / -0.0615 / +0.0045 / +0.0095 / +0.0003 / +0.0066 / +0.1731 / +0.0492 / -0.0232
test_recall,germ_bo_final_attn_output_classifier_minus_baseline_lora,germ_bo_final_attn_output_classifier,baseline_lora,13,0.8756009615384616,0.048941175218939086,0.8143028846153846,0.12032069465099542,0.06129807692307692,0.1405832603653505,0.11592337691487709,0.25,-0.002403846153846154,0.140625,0.6153846153846154,0,+0.0312 / -0.0234 / -0.0547 / +0.0391 / +0.2969 / +0.4141 / +0.0469 / +0.0156 / +0.0781 / -0.0234 / -0.0469 / -0.0547 / +0.0781
